Site,Tree,Stage,RipeningStage ,LD65,aD65,bD65,400nm,410nm,420nm,430nm,440nm,450nm,460nm,470nm,480nm,490nm,500nm,510nm,520nm,530nm,540nm,550nm,560nm,570nm,580nm,590nm,600nm,610nm,620nm,630nm,640nm,650nm,660nm,670nm,680nm,690nm,700nm
DEGUEDO,A1C3,5,P,26.59,9.95,4.16,4.32,4.28,4.22,4.2,4.18,4.16,4.15,4.11,4.11,4.09,4.08,4.09,4.12,4.14,4.17,4.21,4.32,4.52,4.88,5.47,6.35,7.21,7.97,8.81,9.04,8.49,7.88,6.8,7.19,12.5,24.8
DEGUEDO,A1C3,5,P,26.5,10.76,3.71,4.42,4.37,4.3,4.26,4.23,4.21,4.21,4.16,4.16,4.12,4.11,4.1,4.11,4.11,4.12,4.14,4.21,4.37,4.71,5.29,6.18,7.13,8.11,9.19,9.71,9.39,8.85,7.61,8.09,14.18,26.25
DEGUEDO,A1C3,5,P,25.19,9.23,3.01,4.12,4.08,4.02,3.98,3.95,3.94,3.92,3.89,3.88,3.86,3.85,3.84,3.85,3.85,3.85,3.87,3.93,4.04,4.29,4.7,5.36,6.1,6.94,7.9,8.5,8.42,8.15,7.19,7.61,12.9,23.76
DEGUEDO,A1C3,5,P,23.68,1.05,-0.07,4.2,4.14,4.08,4.05,4.03,4.01,4.01,3.99,3.98,3.98,3.96,3.95,3.95,3.96,3.96,3.95,3.96,3.97,3.99,3.99,4,4.03,4.09,4.14,4.3,4.54,4.84,5.18,5.86,7.61,10.44
DEGUEDO,A1C3,5,P,24.62,5.86,1.58,4.17,4.14,4.08,4.04,4.03,4.01,4.01,3.97,3.98,3.96,3.95,3.94,3.95,3.95,3.94,3.95,3.98,4.03,4.15,4.34,4.64,5,5.53,6.22,6.92,7.38,7.66,7.25,8.02,12.96,21.16
DEGUEDO,A1C3,5,P,24.33,1.9,0.08,4.38,4.32,4.25,4.23,4.2,4.19,4.18,4.16,4.15,4.15,4.13,4.11,4.11,4.12,4.12,4.12,4.12,4.13,4.15,4.16,4.19,4.24,4.35,4.51,4.88,5.47,6.14,6.66,7.72,10.85,15.37
DEGUEDO,A1C3,5,P,25.28,7.29,1.86,4.33,4.28,4.23,4.2,4.18,4.17,4.16,4.13,4.12,4.11,4.1,4.08,4.09,4.08,4.07,4.07,4.09,4.13,4.23,4.46,4.9,5.5,6.35,7.37,8.18,8.39,8.2,7.32,7.93,13.2,22.53
DEGUEDO,A1C3,5,P,22.19,4.35,0.75,3.61,3.57,3.52,3.5,3.47,3.45,3.44,3.41,3.41,3.4,3.38,3.37,3.37,3.37,3.36,3.36,3.37,3.39,3.44,3.52,3.69,3.94,4.32,4.78,5.31,5.76,6.04,5.92,6.53,10.31,17.79
DEGUEDO,A3C3,3,RY,49.67,0.93,32.09,4.59,5.04,5.54,5.9,6.19,6.46,6.63,6.81,6.94,7.15,8.38,10.96,14.43,17.08,18.53,19.32,19.95,20.49,21.16,22.24,23.37,23.25,22.28,22.03,20.69,17.92,15.23,11.82,12.36,21.21,36.37
DEGUEDO,A3C3,3,RY,37.17,21.44,17.02,4.59,4.87,5.12,5.2,5.21,5.23,5.22,5.2,5.1,5.01,5.11,5.44,5.86,6.17,6.4,6.73,7.43,8.74,10.96,14.07,17.38,19.55,20.43,21.15,20.28,17.87,15.6,12.41,12.81,21.12,34.77
DEGUEDO,A3C3,3,RY,33.52,24.1,13.12,4.35,4.47,4.65,4.75,4.78,4.77,4.74,4.7,4.64,4.54,4.54,4.63,4.77,4.86,4.94,5.08,5.43,6.18,7.69,10.31,13.77,16.74,18.73,20.39,20.57,18.93,16.71,13.37,13.67,21.89,35.94
DEGUEDO,A3C3,3,RY,39.41,27.44,19.17,4.81,5.18,5.5,5.58,5.61,5.61,5.6,5.57,5.45,5.31,5.4,5.72,6.1,6.35,6.54,6.86,7.6,9.1,11.85,16.03,20.75,24.3,26.33,27.83,27.44,24.95,21.98,17.42,17.95,28.41,42.86
DEGUEDO,A3C3,3,RY,49.89,6.27,31.31,4.98,5.52,6.06,6.37,6.6,6.79,6.93,7.08,7.11,7.23,8.24,10.44,13.46,15.86,17.28,18.23,19.27,20.54,22.07,23.88,25.52,25.87,25.31,25.27,23.94,20.96,18.05,14.17,14.89,24.86,39.2
DEGUEDO,A3C3,3,RY,40.89,20.56,21.11,4.74,5.09,5.42,5.55,5.63,5.68,5.7,5.72,5.69,5.66,6.04,6.85,7.74,8.26,8.53,8.83,9.49,10.77,12.98,16.19,19.83,22.6,24.32,25.8,25.57,23.35,20.7,16.55,17.13,27.33,41.5
DEGUEDO,A3C3,3,RY,40.35,24.58,18.93,4.81,5.27,5.71,5.92,6,6.04,6.03,6.05,5.93,5.78,5.94,6.36,6.82,7.08,7.26,7.6,8.44,10.13,13.04,17.06,21.26,24.08,25.38,26.35,25.73,23.25,20.44,16.31,16.78,26.25,39.69
DEGUEDO,A3C3,3,RY,37.66,25.03,17.46,4.76,5.03,5.24,5.3,5.31,5.32,5.31,5.28,5.19,5.07,5.15,5.43,5.74,5.95,6.13,6.41,7.09,8.45,10.9,14.51,18.54,21.44,22.93,24.08,23.61,21.26,18.51,14.54,14.99,24.38,38.32
DEGUEDO,A3C3,3,RY,47.25,9,28.65,4.76,5.24,5.74,6.03,6.21,6.36,6.49,6.6,6.59,6.67,7.49,9.31,11.73,13.56,14.56,15.29,16.24,17.56,19.4,21.7,23.84,24.53,24.11,24.17,22.88,19.85,16.88,13.04,13.55,23.33,39.19
DEGUEDO,A3C3,3,RY,44.23,20.17,24.01,4.8,5.32,5.82,6.07,6.21,6.33,6.39,6.47,6.43,6.38,6.9,7.97,9.17,9.88,10.23,10.61,11.47,13.13,15.96,19.98,24.25,26.82,27.68,28.43,27.82,25.06,21.3,16.24,16.67,27.42,43.2
DEGUEDO,A3C3,4,R,26.06,13.88,3.86,4.24,4.17,4.12,4.09,4.07,4.05,4.04,4.01,4.01,3.98,3.96,3.96,3.96,3.95,3.93,3.93,3.93,3.94,4.06,4.4,5.22,6.61,8.59,10.92,12.93,13.91,13.9,12.35,13.14,20.14,30.43
